time,m1_pos_actual,m1_vel_actual,m1_torque,m2_pos_actual,m2_vel_actual,m2_torque,m3_pos_actual,m3_vel_actual,m3_torque,m4_pos_actual,m4_vel_actual,m4_torque,m5_pos_actual,m5_vel_actual,m5_torque,m6_pos_actual,m6_vel_actual,m6_torque,m1_acc_actual,m2_acc_actual,m3_acc_actual,m4_acc_actual,m5_acc_actual,m6_acc_actual,source
0.012,0.5533302815289556,0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2463921568627434,-0.0146520146520146,1.318681318681314,-0.3259708552681779,0.0024420024420024,-0.3076923076923066,0.496871900511179,-0.0024420024420024,-0.8000000000000007,1.956397344930192,-0.0219780219780219,-0.0415140415140413,0.0,0.0,2.4420024420024498,-2.442002442002425,0.0,3.66300366300365,dynamics_20250930_162650_static.csv
0.014,0.5529488059815382,0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,-0.0293040293040292,0.2463921568627434,-0.0048840048840048,0.9670329670329636,-0.3259708552681779,-0.0073260073260073,-0.3076923076923066,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,2.4420024420024498,-2.442002442002425,0.0,3.66300366300365,dynamics_20250930_162650_static.csv
0.02,0.5529488059815382,-0.0183150183150182,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.2051282051282044,0.2460086671244372,-0.0048840048840048,1.2014652014651972,-0.3259708552681779,-0.0024420024420024,-0.3076923076923066,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,3.05250305250305,0.0,0.0,0.0,1.2210012210012,0.0,dynamics_20250930_162650_static.csv
0.024,0.5533302815289556,-0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2460086671244372,-0.0048840048840048,1.2014652014651972,-0.3259708552681779,-0.0024420024420024,-0.3076923076923066,0.496871900511179,0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.05250305250305,0.0,0.0,-1.2210012210012249,-2.442002442002425,0.0,dynamics_20250930_162650_static.csv
0.026,0.5529488059815382,-0.0183150183150182,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.2637362637362628,0.2460086671244372,-0.0048840048840048,1.1428571428571388,-0.3259708552681779,-0.0073260073260073,-0.3076923076923066,0.496871900511179,-0.0073260073260073,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.05250305250305,0.0,0.0,-1.2210012210012249,-2.442002442002425,0.0,dynamics_20250930_162650_static.csv
0.032,0.5533302815289556,0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.2051282051282044,0.2460086671244372,-0.0048840048840048,1.2600732600732556,-0.3259708552681779,-0.0024420024420024,-0.3076923076923066,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.052503052503,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_162650_static.csv
0.04,0.5533302815289556,0.0183150183150182,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.2051282051282044,0.2460086671244372,-0.0048840048840048,1.0842490842490804,-0.3259708552681779,-0.0024420024420024,-0.3076923076923066,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0219780219780219,-0.0415140415140413,-3.05250305250305,0.0,0.0,1.2210012210012,0.0,0.0,dynamics_20250930_162650_static.csv
0.044,0.5533302815289556,0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.146520146520146,0.2460086671244372,-0.0048840048840048,1.1428571428571388,-0.3259708552681779,0.0024420024420024,-0.3076923076923066,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0219780219780219,-0.0415140415140413,-3.052503052503,0.0,0.0,-1.2210012210012,0.0,3.66300366300365,dynamics_20250930_162650_static.csv
0.048,0.5533302815289556,-0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.2051282051282044,0.2460086671244372,-0.0048840048840048,1.2014652014651972,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,0.0,0.0,-3.66300366300365,dynamics_20250930_162650_static.csv
0.088,0.5533302815289556,-0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,-0.5567765567765548,0.2479261158159751,-0.0048840048840048,1.2600732600732556,-0.3259708552681779,-0.0073260073260073,-0.3213675213675202,0.4964904249637616,-0.0024420024420024,-0.8136752136752143,1.956397344930192,0.0073260073260073,-0.0415140415140413,-3.05250305250305,0.0,0.0,2.442002442002425,0.0,0.0,dynamics_20250930_162650_static.csv
0.09,0.5533302815289556,-0.0183150183150182,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.0293040293040292,0.2479261158159751,-0.0048840048840048,0.73260073260073,-0.3259708552681779,0.0024420024420024,-0.3213675213675202,0.4964904249637616,-0.0024420024420024,-0.8000000000000007,1.956397344930192,0.0073260073260073,-0.0415140415140413,-3.05250305250305,0.0,0.0,2.442002442002425,0.0,0.0,dynamics_20250930_162650_static.csv
0.096,0.553711757076373,0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2479261158159751,-0.0048840048840048,1.5531135531135476,-0.3259708552681779,-0.0024420024420024,-0.3213675213675202,0.4964904249637616,-0.0073260073260073,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,0.0,2.442002442002425,0.0,dynamics_20250930_162650_static.csv
0.098,0.553711757076373,0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.3809523809523796,0.2479261158159751,-0.0048840048840048,0.9670329670329636,-0.3259708552681779,-0.0024420024420024,-0.3213675213675202,0.4964904249637616,0.0024420024420024,-0.8000000000000007,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,0.0,2.442002442002425,0.0,dynamics_20250930_162650_static.csv
0.106,0.0123979552910657,0.006105006105006,9.81684981684984,-0.4523261463340198,-0.0048840048840048,0.2637362637362628,0.0872439154650184,-0.0048840048840048,0.439560439560438,-2.142557412069886,-0.0024420024420024,-0.3213675213675202,0.396162355992983,-0.0024420024420024,-0.8547008547008552,1.6416800183108258,-0.0219780219780219,-0.0463980463980462,-3.052503052503,0.0,0.0,0.0,0.0,3.66300366300365,dynamics_20250930_161953_static.csv
0.108,0.553711757076373,0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.2051282051282044,0.2479261158159751,-0.0048840048840048,1.2014652014651972,-0.3259708552681779,-0.0024420024420024,-0.3076923076923066,0.4964904249637616,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.052503052503,0.0,0.0,0.0,0.0,3.66300366300365,dynamics_20250930_162650_static.csv
0.11,0.553711757076373,-0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2479261158159751,-0.0048840048840048,1.1428571428571388,-0.3259708552681779,-0.0024420024420024,-0.3213675213675202,0.4964904249637616,-0.0024420024420024,-0.8000000000000007,1.956397344930192,0.0073260073260073,-0.0415140415140413,-3.052503052503,0.0,0.0,0.0,0.0,3.66300366300365,dynamics_20250930_162650_static.csv
0.116,0.553711757076373,-0.006105006105006,9.03540903540906,0.4415884336614031,-0.0048840048840048,0.3809523809523796,0.2479261158159751,-0.0048840048840048,1.1428571428571388,-0.3259708552681779,-0.0024420024420024,-0.3213675213675202,0.4964904249637616,-0.0024420024420024,-0.8000000000000007,1.956397344930192,-0.0219780219780219,-0.0366300366300365,0.0,0.0,0.0,0.0,-1.2210012210012249,3.66300366300365,dynamics_20250930_162650_static.csv
0.118,0.553711757076373,-0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.3223443223443212,0.2479261158159751,-0.0048840048840048,1.0842490842490804,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0073260073260073,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,0.0,-1.2210012210012249,3.66300366300365,dynamics_20250930_162650_static.csv
0.12,0.553711757076373,-0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.3223443223443212,0.2479261158159751,-0.0048840048840048,1.0842490842490804,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0073260073260073,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_162650_static.csv
0.122,0.553711757076373,-0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.3809523809523796,0.2479261158159751,-0.0048840048840048,0.7912087912087884,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0073260073260073,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_162650_static.csv
0.124,0.553711757076373,-0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.3809523809523796,0.2479261158159751,-0.0048840048840048,0.7912087912087884,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0073260073260073,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,3.052503052503,0.0,0.0,0.0,1.2210012210012249,3.66300366300365,dynamics_20250930_162650_static.csv
0.152,0.5548561837186252,-0.0183150183150182,8.742368742368768,0.4415884336614031,-0.0048840048840048,0.3809523809523796,0.2479261158159751,-0.0048840048840048,0.8498168498168468,-0.3259708552681779,-0.0073260073260073,-0.3623931623931611,0.4964904249637616,-0.0024420024420024,-0.8000000000000007,1.956397344930192,-0.0073260073260073,-0.0415140415140413,3.05250305250305,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_162650_static.csv
0.154,0.5552376592660426,-0.006105006105006,8.742368742368768,0.4415884336614031,-0.0048840048840048,-0.0293040293040292,0.2479261158159751,-0.0048840048840048,0.8498168498168468,-0.3259708552681779,-0.0073260073260073,-0.2256410256410248,0.4964904249637616,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,3.05250305250305,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_162650_static.csv
0.156,0.5552376592660426,-0.006105006105006,8.742368742368768,0.4415884336614031,-0.0048840048840048,-0.0293040293040292,0.2479261158159751,-0.0048840048840048,0.8498168498168468,-0.3259708552681779,-0.0073260073260073,-0.2256410256410248,0.4964904249637616,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.05250305250305,0.0,0.0,2.442002442002425,-1.2210012210012249,-3.66300366300365,dynamics_20250930_162650_static.csv
0.158,0.5548561837186252,-0.0183150183150182,8.742368742368768,0.4415884336614031,-0.0048840048840048,0.439560439560438,0.2479261158159751,-0.0048840048840048,0.7912087912087884,-0.3259708552681779,0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0073260073260073,-0.8000000000000007,1.956397344930192,-0.0219780219780219,-0.0415140415140413,-3.05250305250305,0.0,0.0,2.442002442002425,-1.2210012210012249,-3.66300366300365,dynamics_20250930_162650_static.csv
0.16,0.5548561837186252,-0.0183150183150182,8.742368742368768,0.4415884336614031,-0.0048840048840048,0.439560439560438,0.2479261158159751,-0.0048840048840048,0.7912087912087884,-0.3259708552681779,0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0073260073260073,-0.8000000000000007,1.956397344930192,-0.0219780219780219,-0.0415140415140413,3.05250305250305,0.0,0.0,-2.442002442002425,1.2210012210012249,3.66300366300365,dynamics_20250930_162650_static.csv
0.162,0.5552376592660426,-0.006105006105006,8.840048840048865,0.4415884336614031,-0.0048840048840048,0.2051282051282044,0.248309605554283,-0.0048840048840048,0.9670329670329636,-0.3259708552681779,-0.0073260073260073,-0.2256410256410248,0.4964904249637616,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,3.05250305250305,0.0,0.0,-2.442002442002425,1.2210012210012249,3.66300366300365,dynamics_20250930_162650_static.csv
0.166,0.5552376592660426,-0.006105006105006,8.840048840048865,0.4415884336614031,-0.0048840048840048,0.146520146520146,0.248309605554283,-0.0048840048840048,0.6153846153846132,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,1.2210012210012249,0.0,0.0,dynamics_20250930_162650_static.csv
0.186,0.5552376592660426,0.006105006105006,8.742368742368768,0.4415884336614031,-0.0048840048840048,-0.146520146520146,0.2479261158159751,-0.0048840048840048,1.3772893772893724,-0.3259708552681779,-0.0073260073260073,-0.2256410256410248,0.4964904249637616,0.0024420024420024,-0.8000000000000007,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,-2.442002442002425,1.2210012210012,0.0,dynamics_20250930_162650_static.csv
0.19,0.5552376592660426,-0.006105006105006,8.742368742368768,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2479261158159751,-0.0048840048840048,0.73260073260073,-0.3259708552681779,-0.0024420024420024,-0.3076923076923066,0.4964904249637616,-0.0073260073260073,-0.8000000000000007,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.052503052503,0.0,0.0,1.2210012210012249,-2.442002442002425,0.0,dynamics_20250930_162650_static.csv
0.192,0.5552376592660426,-0.006105006105006,8.742368742368768,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2479261158159751,-0.0048840048840048,0.73260073260073,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0073260073260073,-0.8000000000000007,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,0.0,2.442002442002425,0.0,dynamics_20250930_162650_static.csv
0.198,0.5552376592660426,-0.006105006105006,8.742368742368768,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2479261158159751,-0.0048840048840048,1.2600732600732556,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0024420024420024,-0.8000000000000007,1.956397344930192,-0.0219780219780219,-0.0415140415140413,0.0,0.0,0.0,0.0,-1.2210012210012,-3.66300366300365,dynamics_20250930_162650_static.csv
0.2,0.5552376592660426,-0.006105006105006,8.742368742368768,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2479261158159751,-0.0048840048840048,1.2600732600732556,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0024420024420024,-0.8000000000000007,1.956397344930192,-0.0219780219780219,-0.0415140415140413,3.052503052503,0.0,0.0,0.0,0.0,3.66300366300365,dynamics_20250930_162650_static.csv
0.206,0.5552376592660426,0.006105006105006,8.742368742368768,0.4415884336614031,-0.0048840048840048,-0.2051282051282044,0.2479261158159751,-0.0048840048840048,0.6153846153846132,-0.3259708552681779,0.0024420024420024,-0.2256410256410248,0.4964904249637616,-0.0073260073260073,-0.8000000000000007,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,1.2210012210012,-1.2210012210012249,0.0,dynamics_20250930_162650_static.csv
0.21,0.5552376592660426,-0.006105006105006,8.742368742368768,0.4415884336614031,-0.0048840048840048,0.146520146520146,0.2479261158159751,-0.0048840048840048,1.3772893772893724,-0.3259708552681779,-0.0024420024420024,-0.3076923076923066,0.4964904249637616,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.052503052503,0.0,0.0,-1.2210012210012,1.2210012210012249,0.0,dynamics_20250930_162650_static.csv
