time,m1_pos_actual,m1_vel_actual,m1_torque,m2_pos_actual,m2_vel_actual,m2_torque,m3_pos_actual,m3_vel_actual,m3_torque,m4_pos_actual,m4_vel_actual,m4_torque,m5_pos_actual,m5_vel_actual,m5_torque,m6_pos_actual,m6_vel_actual,m6_torque,m1_acc_actual,m2_acc_actual,m3_acc_actual,m4_acc_actual,m5_acc_actual,m6_acc_actual,source
0.012,0.5533302815289556,0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2463921568627434,-0.0146520146520146,0.9670329670329636,-0.3259708552681779,0.0024420024420024,-0.2256410256410248,0.496871900511179,-0.0024420024420024,-0.8000000000000007,1.956397344930192,-0.0219780219780219,-0.0415140415140413,0.0,0.0,2.4420024420024498,-2.442002442002425,0.0,3.66300366300365,dynamics_20250930_162650_static.csv
0.014,0.5529488059815382,0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,-0.0293040293040292,0.2463921568627434,-0.0048840048840048,1.0842490842490804,-0.3259708552681779,-0.0073260073260073,-0.2256410256410248,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,0.0,0.0,2.4420024420024498,-2.442002442002425,0.0,3.66300366300365,dynamics_20250930_162650_static.csv
0.02,0.5529488059815382,-0.0183150183150182,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.2051282051282044,0.2460086671244372,-0.0048840048840048,1.0842490842490804,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,3.05250305250305,0.0,0.0,0.0,1.2210012210012,0.0,dynamics_20250930_162650_static.csv
0.024,0.5533302815289556,-0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.0879120879120876,0.2460086671244372,-0.0048840048840048,1.2014652014651972,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.496871900511179,0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.05250305250305,0.0,0.0,-1.2210012210012249,-2.442002442002425,0.0,dynamics_20250930_162650_static.csv
0.026,0.5529488059815382,-0.0183150183150182,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.2637362637362628,0.2460086671244372,-0.0048840048840048,1.2014652014651972,-0.3259708552681779,-0.0073260073260073,-0.2256410256410248,0.496871900511179,-0.0073260073260073,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.05250305250305,0.0,0.0,-1.2210012210012249,-2.442002442002425,0.0,dynamics_20250930_162650_static.csv
0.032,0.5533302815289556,0.006105006105006,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.2051282051282044,0.2460086671244372,-0.0048840048840048,1.2600732600732556,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0073260073260073,-0.0415140415140413,-3.052503052503,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_162650_static.csv
0.04,0.0123979552910657,-0.006105006105006,9.81684981684984,-0.4527096360723277,-0.0048840048840048,0.0879120879120876,0.0837925078202488,0.0439560439560438,1.0842490842490804,-2.1429388876173032,-0.0024420024420024,-0.3213675213675202,0.396162355992983,0.0024420024420024,-0.8410256410256416,1.6416800183108258,-0.0073260073260073,-0.0415140415140413,0.0,0.0,2.44200244200245,0.0,0.0,3.66300366300365,dynamics_20250930_161953_static.csv
0.04,0.5533302815289556,0.0183150183150182,9.230769230769257,0.4415884336614031,-0.0048840048840048,0.2051282051282044,0.2460086671244372,-0.0048840048840048,0.7912087912087884,-0.3259708552681779,-0.0024420024420024,-0.2256410256410248,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0219780219780219,-0.0415140415140413,-3.05250305250305,0.0,0.0,1.2210012210012,0.0,0.0,dynamics_20250930_162650_static.csv
0.044,0.0123979552910657,-0.006105006105006,9.81684981684984,-0.4527096360723277,-0.0048840048840048,0.2637362637362628,0.0849429770351726,0.0439560439560438,1.1428571428571388,-2.1429388876173032,-0.0024420024420024,-0.3076923076923066,0.396162355992983,-0.0024420024420024,-0.8547008547008552,1.6416800183108258,-0.0073260073260073,-0.0463980463980462,0.0,0.0,0.0,0.0,-1.2210012210012,0.0,dynamics_20250930_161953_static.csv
0.044,0.5533302815289556,0.006105006105006,9.133089133089156,0.4415884336614031,-0.0048840048840048,0.146520146520146,0.2460086671244372,-0.0048840048840048,0.4981684981684964,-0.3259708552681779,0.0024420024420024,-0.2256410256410248,0.496871900511179,-0.0024420024420024,-0.8136752136752143,1.956397344930192,-0.0219780219780219,-0.0415140415140413,-3.052503052503,0.0,0.0,-1.2210012210012,0.0,3.66300366300365,dynamics_20250930_162650_static.csv
0.048,0.0123979552910657,-0.006105006105006,9.81684981684984,-0.4523261463340198,-0.0048840048840048,0.3223443223443212,0.0857099565117867,0.0439560439560438,1.2014652014651972,-2.1429388876173032,-0.0024420024420024,-0.3213675213675202,0.396162355992983,-0.0073260073260073,-0.8547008547008552,1.6416800183108258,0.0073260073260073,-0.0415140415140413,0.0,0.0,0.0,0.0,-1.2210012210012249,3.66300366300365,dynamics_20250930_161953_static.csv
